pws_area,source_document,requirement_text
8 (U) Constraints,Strata Base IDIQ PWS.docx,New servers shall have an automated stand-up.
8 (U) Constraints,Strata Base IDIQ PWS.docx,New versions of a product shall be automatically deployed to non-production and production environments.
8 (U) Constraints,Strata Base IDIQ PWS.docx,"Such coordination shall include, but is not limited to:"
8 (U) Constraints,Strata Base IDIQ PWS.docx,"The Contractor shall be responsible for ASP requirements, including integrating and coordinating all necessary activities with the ISP."
8 (U) Constraints,Strata Base IDIQ PWS.docx,The Contractor shall implement automated accessibility tests for any user-facing functionality.
8 (U) Constraints,Strata Base IDIQ PWS.docx,"Unit, integration, and end-to-end tests shall run automatically when code changes are proposed to the “main” branch in version control."
9 (U) Program Management and Contract Management,Strata Base IDIQ PWS.docx,"(U) The Contractor PM shall attend requested meetings and technical exchange meetings to discuss a myriad of topics that may include, but may not be limited to, staffing, resource allocation, cost, schedule, performance, capability integration and/or interoperability, workflow and/or process optimization, etc."
9 (U) Program Management and Contract Management,Strata Base IDIQ PWS.docx,(U) The Contractor shall provide an overarching contract Program Manager (PM) to ensure total program integration and support during all phases and across contract task orders.
9 (U) Program Management and Contract Management,Strata Base IDIQ PWS.docx,"The PM shall manage and administer the programmatic and technical efforts associated with this PWS to include, but may not be limited to, contract administration, cost, schedule, security administration, configuration control, and property control."
9 (U) Program Management and Contract Management,Strata Base IDIQ PWS.docx,"The PM shall provide program health status for cost, schedule, and performance."
9.1 (U) Transition,Strata Base IDIQ PWS.docx,(U) The outgoing Contractor shall conduct a seamless transition of the capabilities and services to the follow-on Contractor (if applicable).
9.1.1 (U) Transition Plan (CDRL A005),Strata Base IDIQ PWS.docx,"(U) Both the incoming and outgoing Contractors shall develop and maintain a Transition Plan that describes the process, approach, and schedule for providing an orderly transition of duties, activities, and functions of tasks, tools, equipment, and information knowledge transfers during the contract’s transition terms."
9.1.2 (U) Phase-In Transition Period,Strata Base IDIQ PWS.docx,"(U) As part of the proposal, the incoming Contractor shall provide a draft Phase-In Transition Plan that addresses assumptions, proposed schedule, checklists, and known risk and a final plan 15 business days after contract award."
9.1.2 (U) Phase-In Transition Period,Strata Base IDIQ PWS.docx,"(U) Key activities that shall occur during the phase-in transition period include (but may not be limited to): becoming familiar with performance requirements, obtaining IC badges, obtaining Common Access Cards (CAC), submitting HSPD-12 documents, completing Government required training, transferring of all source code, documentation, and SOPs developed and maintained by the incumbent Contractor, conducting inventories and transferring all GFE/GFI/GFP."
9.1.2 (U) Phase-In Transition Period,Strata Base IDIQ PWS.docx,(U) The incoming Contractor shall lead a contract kickoff meeting within ten business days after the contract award.
9.1.2 (U) Phase-In Transition Period,Strata Base IDIQ PWS.docx,"(U) To minimize any decreases in productivity and to prevent possible negative impact on additional services, the incoming Contractor shall have all key personnel on board during the phase-in period commencing with the date of contract award."
9.1.2 (U) Phase-In Transition Period,Strata Base IDIQ PWS.docx,"At a minimum, the incoming Contractor shall introduce key personnel, team members and staff, and discuss organizational structure and administrative operations pertinent to this requirement."
9.1.2 (U) Phase-In Transition Period,Strata Base IDIQ PWS.docx,"The incoming Contractor shall address details of overlapping with the outgoing Contractor to include hand-off of any source code, cloud and infrastructure access, configurations, instructions, Standard Operating Procedures (SOPs), databases, and transfer of all GFE, Government Furnished Information (GFI), and Property (GFP)."
9.1.3 (U) Phase-Out Transition Period,Strata Base IDIQ PWS.docx,(U) All GFI released to the outgoing Contractor or created in the performance of this contract shall be returned to NGA upon termination of the contract; or when no longer required in the performance of the contract as directed by the Contracting Officer (CO).
9.1.3 (U) Phase-Out Transition Period,Strata Base IDIQ PWS.docx,"(U) At a minimum, the Phase-Out Transition Plan and activities shall address the following:"
9.1.3 (U) Phase-Out Transition Period,Strata Base IDIQ PWS.docx,(U) The Phase-Out Transition Plan shall be submitted 90 days after the last option period is exercised.
9.1.3 (U) Phase-Out Transition Period,Strata Base IDIQ PWS.docx,Execution of the Phase-Out Transition Plan shall begin no later than 60 days before the contract end date.
9.1.3 (U) Phase-Out Transition Period,Strata Base IDIQ PWS.docx,The outgoing Contractor is ultimately responsible for performing full services IAW the contract during the phase-out period and shall not defer any requirements to avoid responsibility or transfer such responsibility to the incoming Contractor.
9.1.3 (U) Phase-Out Transition Period,Strata Base IDIQ PWS.docx,"The outgoing Contractor shall fully cooperate with the incoming Contractor and the Government, to avoid interfering with the mission, work, or duties."
9.2 (U) Staffing and Contractor Personnel,Strata Base IDIQ PWS.docx,(U) The Contractor shall develop and maintain a current staffing list.
9.2 (U) Staffing and Contractor Personnel,Strata Base IDIQ PWS.docx,"(U) The Contractor shall ensure all Contractor personnel comply with all local, state, and federal ordinances, statutes, and regulations regarding personal safety in work areas."
9.2 (U) Staffing and Contractor Personnel,Strata Base IDIQ PWS.docx,(U) The Contractor shall provide fully qualified and cleared personnel to satisfy the conditions of this PWS.
9.2 (U) Staffing and Contractor Personnel,Strata Base IDIQ PWS.docx,Contractor employees shall stay compliant with all NGA mandatory training.
9.2 (U) Staffing and Contractor Personnel,Strata Base IDIQ PWS.docx,"It shall identify any personnel that left the contract during the previous month, personnel scheduled to onboard during the current or following month, and any personnel scheduled to depart, including the planned departure date."
9.2 (U) Staffing and Contractor Personnel,Strata Base IDIQ PWS.docx,"The Contractor shall maintain a stable workforce while minimizing turnover, maintaining the same level of expertise and managing their personnel in such a way as to minimize the impact of any turnover and/or disruption to the customer and/or mission."
9.2 (U) Staffing and Contractor Personnel,Strata Base IDIQ PWS.docx,The staffing list shall be updated and provided as part of the PMR (CDRL A0011).
